id;nom;duree;coefficiant;note_eleminatoire
1;Mauritius;50615;97407;Berkshire
2;metrics Libyan Arab Jamahiriya Pizza;93353;76509;Ergonomic Wooden Salad Manager National
3;Dynamic deposit;80529;13189;parsing
4;Missouri;97194;31789;Garden Generic Alaska
5;Berkshire;3859;85845;Manat
6;International Global IB;19405;73039;Bedfordshire wireless connect
7;Future-proofed EXE Personal Loan Account;52546;26076;Course Salad
8;Table 1080p;79737;89448;innovative FTP
9;Cambridgeshire;3032;60092;Practical
10;National Georgia;57788;51524;context-sensitive Automated
